Name,Codename,Cores,Clock,Socket,Process,L3_Cache,TDP,Release
Core i7-1260P,Alder Lake-P,12.0,2.1,BGA 1744,10.0,18MB,28.0,
Core i7-12700,Alder Lake-S,12.0,3.3,Socket 1700,10.0,25MB,65.0,
Core i7-12700E,Alder Lake-S,12.0,2.1,Socket 1700,10.0,25MB,65.0,
Core i7-12700F,Alder Lake-S,12.0,3.3,Socket 1700,10.0,25MB,65.0,2022-01-04
Core i7-12700K,Alder Lake-S,12.0,3.6,Socket 1700,10.0,25MB,125.0,2021-11-04
Core i7-12700KF,Alder Lake-S,12.0,3.6,Socket 1700,10.0,25MB,125.0,2021-11-04
Core i7-12700T,Alder Lake-S,12.0,1.4,Socket 1700,10.0,25MB,35.0,
Core i7-12700TE,Alder Lake-S,12.0,1.4,Socket 1700,10.0,25MB,35.0,
Core i7-1270P,Alder Lake-P,12.0,2.2,BGA 1744,10.0,18MB,28.0,
Core i9-10920X,Cascade Lake-X,12.0,3.5,Socket 2066,14.0,19.25MB,165.0,2019-10-19
Core i9-7920X,Skylake-X,12.0,2.9,Socket 2066,14.0,16.5MB,140.0,2017-09-10
Core i9-9920X,Skylake-X,12.0,3.5,Socket 2066,14.0,19.25MB,165.0,2018-10-19
Xeon D-1557,Broadwell,12.0,1.5,BGA 1667,14.0,1.5MB,45.0,2016-02-24
Xeon D-1567,Broadwell,12.0,2.1,BGA 1667,14.0,1.5MB,65.0,2016-02-24
Xeon E5-1686 V3,Haswell-EP,12.0,2.6,Socket 2011-3,22.0,30MB,135.0,2014-09-08
Xeon E5-2648L V3,Haswell-EP,12.0,1.8,Socket 2011-3,22.0,30MB,75.0,2014-09-08
Xeon E5-2650L V3,Haswell-EP,12.0,1.8,Socket 2011-3,22.0,30MB,65.0,2014-09-08
Xeon E5-2658 V3,Haswell-EP,12.0,2.2,Socket 2011-3,22.0,30MB,105.0,2014-09-08
Xeon E5-2658A V3,Haswell-EP,12.0,2.2,Socket 2011-3,22.0,30MB,105.0,
Xeon E5-2669 V3,Haswell-EP,12.0,2.3,Socket 2011-3,22.0,30MB,120.0,
Xeon E5-2670 V3,Haswell-EP,12.0,2.3,Socket 2011-3,22.0,30MB,120.0,2014-09-08
Xeon E5-2673 V3,Haswell-EP,12.0,2.4,Socket 2011-3,22.0,30MB,105.0,2014-09-08
Xeon E5-2676 V3,Haswell-EP,12.0,2.4,Socket 2011-3,22.0,30MB,120.0,
Xeon E5-2678 V3,Haswell-EP,12.0,2.5,Socket 2011-3,22.0,30MB,120.0,
Xeon E5-2680 V3,Haswell-EP,12.0,2.5,Socket 2011-3,22.0,30MB,120.0,2014-09-08
Xeon E5-2685 V3,Haswell-EP,12.0,2.6,Socket 2011-3,22.0,30MB,120.0,2014-09-08
Xeon E5-2690 V3,Haswell-EP,12.0,2.6,Socket 2011-3,22.0,30MB,135.0,2014-09-08
Xeon E5-2692 V3,Haswell-EP,12.0,3.0,Socket 2011-3,22.0,30MB,165.0,2014-09-08
Xeon E5-2692 v2,Ivy Bridge-EP,12.0,2.2,Socket 2011,22.0,30MB,100.0,
Xeon E5-2693 V3,Haswell-EP,12.0,2.8,Socket 2011-3,22.0,30MB,160.0,
Xeon E5-2695 v2,Ivy Bridge-EP,12.0,2.4,Socket 2011,22.0,30MB,115.0,
Xeon E5-2697 v2,Ivy Bridge-EP,12.0,2.7,Socket 2011,22.0,30MB,130.0,
Xeon E5-4640 V3,Haswell-EP,12.0,1.9,Socket 2011-3,22.0,30MB,105.0,
Xeon E5-4648 V3,Haswell-EP,12.0,1.7,Socket 2011-3,22.0,30MB,105.0,
Xeon E5-4650 V3,Haswell-EP,12.0,2.1,Socket 2011-3,22.0,30MB,105.0,
Xeon E7-4830 v3,Haswell-EX,12.0,2.1,Socket 2011-3,22.0,30MB,115.0,
Xeon Gold 5317,Ice Lake-SP,12.0,3.0,Socket 4189,10.0,18MB,150.0,2021-04-06
